Year,Month,Unit,Dacoity,Robbery,Murder,Speedy_Trial,Riot,Woman_Child_Repression,Kidnapping,Police_Assault,Burglary,Theft,Other_Cases,Arms_Act,Explosive_Act,Narcotics,Smuggling,Recovery_Cases,Total_Cases
2021,January,DMP,3,15,18,12,0,185,7,7,68,128,504,5,4,1532,17,1558,2505.0
2021,January,CMP,0,3,9,11,0,77,0,7,8,17,150,35,11,240,4,290,572.0
2021,January,KMP,0,1,2,0,0,8,3,1,2,18,24,3,0,79,3,85,144.0
2021,January,RMP,0,2,2,0,0,18,1,1,2,5,39,1,0,329,26,356,426.0
2021,January,BMP,0,1,2,1,0,5,0,0,7,12,50,1,0,48,0,49,127.0
2021,January,SMP,0,2,2,5,0,23,1,1,3,15,89,0,0,87,8,95,236.0
2021,January,RPMP,0,0,0,9,0,21,1,0,3,12,50,0,0,68,0,68,164.0
2021,January,GMP,1,6,2,3,0,28,5,1,7,8,57,5,0,100,0,105,223.0
2021,January,Dhaka Range,12,19,51,7,0,279,10,6,45,132,1011,10,5,643,6,664,2236.0
2021,January,Mymensingh Range,0,1,7,15,0,142,2,0,9,39,458,2,0,392,14,408,1081.0
2021,January,Chittagong Range,9,9,46,10,0,189,9,10,34,94,919,23,6,920,5,954,2283.0
2021,January,Sylhet Range,1,3,16,6,0,81,1,3,5,44,357,1,2,150,33,186,703.0
2021,January,Khulna Range,2,12,19,2,0,157,0,2,16,65,674,9,2,559,20,590,1539.0
2021,January,Barishal Range,1,1,13,8,0,85,1,3,10,17,378,1,0,234,0,235,752.0
2021,January,Rajshahi Range,1,7,42,2,0,182,2,4,5,39,496,17,7,818,63,905,1685.0
2021,January,Rangpur Range,3,4,25,0,0,159,2,1,8,46,680,1,0,416,39,456,1384.0
2021,January,Railway Range,0,1,1,1,0,2,0,0,0,3,9,0,0,24,0,24,41.0
2021,February,DMP,0,8,12,5,0,171,4,11,55,101,459,7,3,1224,15,1249,2075.0
2021,February,CMP,0,4,3,12,0,55,3,5,12,26,144,46,2,270,2,320,584.0
2021,February,KMP,0,0,1,0,0,8,0,1,2,8,41,1,0,92,0,93,154.0
2021,February,RMP,0,3,1,0,0,18,4,2,0,7,49,0,0,221,18,239,323.0
2021,February,BMP,0,1,2,0,0,5,0,0,3,5,41,0,0,50,0,50,107.0
2021,February,SMP,0,0,4,13,0,33,0,5,3,13,85,1,0,75,4,80,236.0
2021,February,RPMP,0,0,1,1,0,17,1,0,0,9,37,0,0,65,0,65,131.0
2021,February,GMP,3,3,8,3,0,32,4,0,4,16,66,2,1,72,0,75,214.0
2021,February,Dhaka Range,14,17,54,10,0,277,8,6,37,116,918,14,2,846,3,865,2322.0
2021,February,Mymensingh Range,0,3,20,12,0,130,2,0,5,38,470,0,3,269,15,287,967.0
2021,February,Chittagong Range,4,11,43,8,0,198,8,7,33,91,908,33,7,891,11,942,2253.0
